[2025-09-18 21:27:48.203] [info]  DiscordSplash.signalReady
[2025-09-18 21:27:55.771] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-09-18 21:27:56.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:57.202] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:58.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:58.509] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-09-18 21:27:58.510] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-09-18 21:27:58.522] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-09-18 21:27:58.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-09-18 21:27:58.526] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":21}
[2025-09-18 21:27:58.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":21}
[2025-09-18 21:27:58.527] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2025-09-18 21:27:58.527] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2025-09-18 21:27:58.547] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-09-18 21:27:58.548] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-09-18 21:27:58.552] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":36}
[2025-09-18 21:27:58.553] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":36}
[2025-09-18 21:27:58.557] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2025-09-18 21:27:58.557] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2025-09-18 21:27:58.558] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2025-09-18 21:27:58.558] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2025-09-18 21:27:58.574] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-09-18 21:27:58.575] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-09-18 21:27:58.577] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-09-18 21:27:58.577] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-09-18 21:27:58.578] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-09-18 21:27:58.579] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2025-09-18 21:27:58.594] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":59}
[2025-09-18 21:27:58.595] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":59}
[2025-09-18 21:27:58.598] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":86}
[2025-09-18 21:27:58.598] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":86}
[2025-09-18 21:27:58.601] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2025-09-18 21:27:58.601] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":93}
[2025-09-18 21:27:58.607] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-09-18 21:27:58.607] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-09-18 21:27:58.608] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-09-18 21:27:58.608] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-09-18 21:27:59.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:59.264] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-09-18 21:27:59.264] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-09-18 21:27:59.279] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-09-18 21:27:59.280] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-09-18 21:27:59.288] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-09-18 21:27:59.288] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-09-18 21:27:59.298] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-09-18 21:27:59.298] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-09-18 21:27:59.300] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-09-18 21:27:59.301] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-09-18 21:27:59.308] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-09-18 21:27:59.309] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-09-18 21:27:59.313] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-09-18 21:27:59.314] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-09-18 21:27:59.318] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-09-18 21:27:59.318] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-09-18 21:27:59.321] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-09-18 21:27:59.321] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-09-18 21:27:59.324] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-09-18 21:27:59.325] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-09-18 21:27:59.328] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-09-18 21:27:59.329] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-09-18 21:27:59.330] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-09-18 21:27:59.331] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-09-18 21:27:59.333] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-09-18 21:27:59.333] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-09-18 21:27:59.337] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-09-18 21:27:59.337] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-09-18 21:27:59.354] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-09-18 21:27:59.354] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-09-18 21:27:59.355] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-09-18 21:27:59.355] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-09-18 21:27:59.367] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2025-09-18 21:27:59.367] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2025-09-18 21:27:59.370] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-09-18 21:27:59.370] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-09-18 21:27:59.735] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2025-09-18 21:27:59.736] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2025-09-18 21:27:59.745] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2025-09-18 21:27:59.746] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2025-09-18 21:27:59.760] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2025-09-18 21:27:59.761] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2025-09-18 21:27:59.763] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2025-09-18 21:27:59.765] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2025-09-18 21:27:59.779] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-09-18 21:27:59.780] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-09-18 21:27:59.797] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2025-09-18 21:27:59.798] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2025-09-18 21:27:59.800] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-09-18 21:27:59.801] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-09-18 21:27:59.802] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2025-09-18 21:27:59.802] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2025-09-18 21:27:59.805] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2025-09-18 21:27:59.805] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2025-09-18 21:27:59.807] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2025-09-18 21:27:59.808] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2025-09-18 21:27:59.812] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2025-09-18 21:27:59.812] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2025-09-18 21:27:59.815] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2025-09-18 21:27:59.816] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2025-09-18 21:27:59.832] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
[2025-09-18 21:27:59.833] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
[2025-09-18 21:27:59.836] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":39}
[2025-09-18 21:27:59.836] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":39}
[2025-09-18 21:27:59.838] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":41}
[2025-09-18 21:27:59.838] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":41}
[2025-09-18 21:27:59.839] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":44}
[2025-09-18 21:27:59.839] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":44}
[2025-09-18 21:27:59.845] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":45}
[2025-09-18 21:27:59.845] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":45}
[2025-09-18 21:27:59.848] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":46}
[2025-09-18 21:27:59.848] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":46}
[2025-09-18 21:27:59.850] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":47}
[2025-09-18 21:27:59.850] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":47}
[2025-09-18 21:27:59.853] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":48}
[2025-09-18 21:27:59.853] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":48}
[2025-09-18 21:27:59.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":49}
[2025-09-18 21:27:59.876] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":49}
[2025-09-18 21:27:59.905] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":50}
[2025-09-18 21:27:59.906] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":50}
[2025-09-18 21:27:59.909] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":52}
[2025-09-18 21:27:59.909] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":52}
[2025-09-18 21:27:59.910] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":56}
[2025-09-18 21:27:59.911] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":56}
[2025-09-18 21:27:59.912] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":57}
[2025-09-18 21:27:59.912] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":57}
[2025-09-18 21:27:59.913] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":60}
[2025-09-18 21:27:59.913] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":60}
[2025-09-18 21:27:59.914] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":62}
[2025-09-18 21:27:59.914] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":62}
[2025-09-18 21:27:59.915] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":65}
[2025-09-18 21:27:59.915] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":65}
[2025-09-18 21:27:59.916] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":66}
[2025-09-18 21:27:59.916] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":66}
[2025-09-18 21:27:59.921] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":67}
[2025-09-18 21:27:59.922] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":67}
[2025-09-18 21:27:59.927] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":68}
[2025-09-18 21:27:59.927] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":68}
[2025-09-18 21:27:59.931] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":69}
[2025-09-18 21:27:59.931] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":69}
[2025-09-18 21:27:59.936] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":70}
[2025-09-18 21:27:59.937] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":70}
[2025-09-18 21:27:59.942] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":71}
[2025-09-18 21:27:59.943] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":71}
[2025-09-18 21:27:59.946] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":72}
[2025-09-18 21:27:59.947] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":72}
[2025-09-18 21:27:59.951] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":73}
[2025-09-18 21:27:59.951] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":73}
[2025-09-18 21:27:59.957] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":74}
[2025-09-18 21:27:59.958] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":74}
[2025-09-18 21:27:59.962] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":75}
[2025-09-18 21:27:59.963] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":75}
[2025-09-18 21:27:59.967] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":76}
